sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
sja1008	23	F
ksko	42	M
unclebae	25	M
